Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg)
00:00:00.000+02:00,00:15:00.000+02:00,,,,,,,,,,,,,,,,
00:15:00.000+02:00,00:30:00.000+02:00,,,,,,,,,,,,,,,,
00:30:00.000+02:00,00:45:00.000+02:00,,,,,,,,,,,,,,,,
00:45:00.000+02:00,01:00:00.000+02:00,,,,,,,,,,,,,,,,
01:00:00.000+02:00,01:15:00.000+02:00,,,,,,,,,,,,,,,,
01:15:00.000+02:00,01:30:00.000+02:00,,,,,,,,,,,,,,,,
01:30:00.000+02:00,01:45:00.000+02:00,,,,,,,,,,,,,,,,
01:45:00.000+02:00,02:00:00.000+02:00,,,,,,,,,,,,,,,,
02:00:00.000+02:00,02:15:00.000+02:00,,,,,,,,,,,,,,,,
02:15:00.000+02:00,02:30:00.000+02:00,,,,,,,,,,,,,,,,
02:30:00.000+02:00,02:45:00.000+02:00,,,,,,,,,,,,,,,,
02:45:00.000+02:00,03:00:00.000+02:00,,,,,,,,,,,,,,,,
03:00:00.000+02:00,03:15:00.000+02:00,,,,,,,,,,,,,,,,
03:15:00.000+02:00,03:30:00.000+02:00,,,,,,,,,,,,,,,,
03:30:00.000+02:00,03:45:00.000+02:00,,,,,,,,,,,,,,,,
03:45:00.000+02:00,04:00:00.000+02:00,,,,,,,,,,,,,,,,
04:00:00.000+02:00,04:15:00.000+02:00,,,,,,,,,,,,,,,,
04:15:00.000+02:00,04:30:00.000+02:00,,,,,,,,,,,,,,,,
04:30:00.000+02:00,04:45:00.000+02:00,,,,,,,,,,,,,,,,
04:45:00.000+02:00,05:00:00.000+02:00,,,,,,,,,,,,,,,,
05:00:00.000+02:00,05:15:00.000+02:00,,,,,,,,,,,,,,,,
05:15:00.000+02:00,05:30:00.000+02:00,,,,,,,,,,,,,,,,
05:30:00.000+02:00,05:45:00.000+02:00,,,,,,,,,,,,,,,,
05:45:00.000+02:00,06:00:00.000+02:00,,,,,,,,,,,,,,,,
06:00:00.000+02:00,06:15:00.000+02:00,,,,,,,,,,,,,,,,
06:15:00.000+02:00,06:30:00.000+02:00,,,,,,,,,,,,,,,,
06:30:00.000+02:00,06:45:00.000+02:00,,,,,,,,,,,,,,,,
06:45:00.000+02:00,07:00:00.000+02:00,,,,,,,,,,,,,,,,
07:00:00.000+02:00,07:15:00.000+02:00,,,,,,,,,,,,,,,,
07:15:00.000+02:00,07:30:00.000+02:00,,,,,,,,,,,,,,,,
07:30:00.000+02:00,07:45:00.000+02:00,,,,,,,,,,,,,,,,
07:45:00.000+02:00,08:00:00.000+02:00,,,,,,,,,,,,,,,,
08:00:00.000+02:00,08:15:00.000+02:00,,,,,,,,,,,,,,,,
08:15:00.000+02:00,08:30:00.000+02:00,,,,,,,,,,,,,,,,
08:30:00.000+02:00,08:45:00.000+02:00,,,,,,,,,,,,,,,,
08:45:00.000+02:00,09:00:00.000+02:00,,,,,,,,,,,,,,,,
09:00:00.000+02:00,09:15:00.000+02:00,,,,,,,,,,,,,,,,
09:15:00.000+02:00,09:30:00.000+02:00,,,,,,,,,,,,,,,,
09:30:00.000+02:00,09:45:00.000+02:00,,,,,,,,,,,,,,,,
09:45:00.000+02:00,10:00:00.000+02:00,,,,,,,,,,,,,,,,
10:00:00.000+02:00,10:15:00.000+02:00,,,,,,,,,,,,,,,,
10:15:00.000+02:00,10:30:00.000+02:00,,,,,,,,,,,,,,,,
10:30:00.000+02:00,10:45:00.000+02:00,,,,,,,,,,,,,,,,
10:45:00.000+02:00,11:00:00.000+02:00,,,,,,,,,,,,,,,,
11:00:00.000+02:00,11:15:00.000+02:00,,,,,,,,,,,,,,,,
11:15:00.000+02:00,11:30:00.000+02:00,,,,,,,,,,,,,,,,
11:30:00.000+02:00,11:45:00.000+02:00,,,,,,,,,,,,,,,,
11:45:00.000+02:00,12:00:00.000+02:00,,,,,,,,,,,,,,,,
12:00:00.000+02:00,12:15:00.000+02:00,,,,,,,,,,,,,,,,
12:15:00.000+02:00,12:30:00.000+02:00,,,,,,,,,,,,,,,,
12:30:00.000+02:00,12:45:00.000+02:00,,,,,,,,,,,,,,,,
12:45:00.000+02:00,13:00:00.000+02:00,,,,,,,,,,,,,,,,
13:00:00.000+02:00,13:15:00.000+02:00,,,,,,,,,,,,,,,,
13:15:00.000+02:00,13:30:00.000+02:00,,,,,,,,,,,,,,,,
13:30:00.000+02:00,13:45:00.000+02:00,,,,,,,,,,,,,,,,
13:45:00.000+02:00,14:00:00.000+02:00,,,,,,,,,,,,,,,,
14:00:00.000+02:00,14:15:00.000+02:00,,,,,,,,,,,,,,,,
14:15:00.000+02:00,14:30:00.000+02:00,,,,,,,,,,,,,,,,
14:30:00.000+02:00,14:45:00.000+02:00,,,,,,,,,,,,,,,,
14:45:00.000+02:00,15:00:00.000+02:00,,,,,,,,,,,,,,,,
15:00:00.000+02:00,15:15:00.000+02:00,,15.19997145044034,,,,,,,,,,,,,,
15:15:00.000+02:00,15:30:00.000+02:00,,17.364582411975878,,,,,,,,,,,,,,
15:30:00.000+02:00,15:45:00.000+02:00,,17.364582411975878,,,,,,,,,,,,,,
15:45:00.000+02:00,16:00:00.000+02:00,,17.364582411975878,,,,,,,,,,,,,,
16:00:00.000+02:00,16:15:00.000+02:00,,17.364582411975878,,,,,,,,,,,,,,
16:15:00.000+02:00,16:30:00.000+02:00,,17.364582411975878,,,,,,,,,,,,,,
16:30:00.000+02:00,16:45:00.000+02:00,,17.364582411975878,,,,,,,,,,,,,,
16:45:00.000+02:00,17:00:00.000+02:00,,17.364582411975878,,,,,,,,,,,,77.0,77.0,77.0
17:00:00.000+02:00,17:15:00.000+02:00,,17.364582411975878,,,,,,,,,,,,,,
17:15:00.000+02:00,17:30:00.000+02:00,,17.364582411975878,,,,,,,,,,,,,,
17:30:00.000+02:00,17:45:00.000+02:00,,17.364582411975878,,,,,,,,,,,,,,
17:45:00.000+02:00,18:00:00.000+02:00,,17.364582411975878,,,,,,,,,,,,,,
18:00:00.000+02:00,18:15:00.000+02:00,,17.364582411975878,,,,,,,,,,,,,,
18:15:00.000+02:00,18:30:00.000+02:00,,17.364582411975878,,,,,,,,,,,,,,
18:30:00.000+02:00,18:45:00.000+02:00,,17.364582411975878,,,,,,,,,,,,,,
18:45:00.000+02:00,19:00:00.000+02:00,,17.364582411975878,,,,,,,,,,,,,,
19:00:00.000+02:00,19:15:00.000+02:00,,17.364582411975878,,,,,,,,,,,,,,
19:15:00.000+02:00,19:30:00.000+02:00,,17.364582411975878,,,,,,,,,,,,,,
19:30:00.000+02:00,19:45:00.000+02:00,,17.364582411975878,,,,,,,,,,,,,,
19:45:00.000+02:00,20:00:00.000+02:00,,17.364582411975878,,,,,,,,,,,,,,
20:00:00.000+02:00,20:15:00.000+02:00,,17.364582411975878,,,,,,,,,,,,,,
20:15:00.000+02:00,20:30:00.000+02:00,,17.364582411975878,,,,,,,,,,,,,,
20:30:00.000+02:00,20:45:00.000+02:00,,17.364582411975878,,,,,,,,,,,,,,
20:45:00.000+02:00,21:00:00.000+02:00,,17.364582411975878,,,,,,,,,,,,,,
21:00:00.000+02:00,21:15:00.000+02:00,,17.364582411975878,,,,,,,,,,,,,,
21:15:00.000+02:00,21:30:00.000+02:00,,17.364582411975878,,,,,,,,,,,,,,
21:30:00.000+02:00,21:45:00.000+02:00,,17.364582411975878,,,,,,,,,,,,,,
21:45:00.000+02:00,22:00:00.000+02:00,,17.364582411975878,,,,,,,,,,,,,,
22:00:00.000+02:00,22:15:00.000+02:00,,17.364582411975878,,,,,,,,,,,,,,
22:15:00.000+02:00,22:30:00.000+02:00,,17.364582411975878,,,,,,,,,,,,,,
22:30:00.000+02:00,22:45:00.000+02:00,,17.364582411975878,,,,,,,,,,,,,,
22:45:00.000+02:00,23:00:00.000+02:00,,17.364582411975878,,,,,,,,,,,,,,
23:00:00.000+02:00,23:15:00.000+02:00,,17.364582411975878,,,,,,,,,,,,,,
23:15:00.000+02:00,23:30:00.000+02:00,,17.364582411975878,,,,,,,,,,,,,,
23:30:00.000+02:00,23:45:00.000+02:00,,17.364582411975878,,,,,,,,,,,,,,
23:45:00.000+02:00,00:00:00.000+02:00,,17.364582411975878,,,,,,,,,,,,,,
